"","district","gov","pres","ave","rpvi","hpvi","name","party","chamber"
"1","01A",0.468392882974107,0.4416964963662,0.455044689670153,-4.49553103298465,"R+4","Dan Fabian","R","House"
"2","01B",0.493807793923382,0.470304888061744,0.482056340992563,-1.79436590074372,"R+2","Debra Kiel","R","House"
"3","02A",0.492816500711238,0.489754820520566,0.491285660615902,-0.871433938409827,"R+1","David Hancock","R","House"
"4","02B",0.435455734845181,0.429310434017899,0.43238308443154,-6.76169155684602,"R+7","Steve Green","R","House"
"5","03A",0.606530096975957,0.566326757803803,0.58642842738988,8.64284273898799,"D+9","David Dill","DFL","House"
"6","03B",0.615514443362545,0.612283148810043,0.613898796086294,11.3898796086294,"D+11","Mary Murphy","DFL","House"
"7","04A",0.58700073964497,0.56665785997358,0.576829299809275,7.68292998092752,"D+8","Ben Lien","DFL","House"
"8","04B",0.513497026078999,0.475734650815707,0.494615838447353,-0.538416155264682,"R+1","Paul Marquart","DFL","House"
"9","05A",0.531040577362103,0.531784657066881,0.531412617214492,3.1412617214492,"D+3","John Persell","DFL","House"
"10","05B",0.537891525001557,0.504580623724308,0.521236074362933,2.12360743629325,"D+2","Tom Anzelc","DFL","House"
"11","06A",0.670523594053006,0.64642250788261,0.658473050967808,15.8473050967808,"D+16","Carly Melin","DFL","House"
"12","06B",0.639653444922497,0.632623169107856,0.636138307015176,13.6138307015176,"D+14","Jason Metsa","DFL","House"
"13","07A",0.698289269051322,0.689275854746231,0.693782561898776,19.3782561898776,"D+19","Jennifer Schultz","DFL","House"
"14","07B",0.710034547738693,0.716962049701406,0.71349829872005,21.349829872005,"D+21","Erik Simonson","DFL","House"
"15","08A",0.4103894307256,0.399619012219486,0.405004221472543,-9.49957785274569,"R+9","Bud Nornes","R","House"
"16","08B",0.413295371780441,0.409667923834054,0.411481647807247,-8.85183521927526,"R+9","Mary Franson","R","House"
"17","09A",0.39853878661987,0.383920738944218,0.391229762782044,-10.8770237217956,"R+11","Mark Anderson","R","House"
"18","09B",0.414134225322041,0.38361188243307,0.398873053877555,-10.1126946122445,"R+10","Ron Kresha","R","House"
"19","10A",0.44076792032499,0.434849283557771,0.43780860194138,-6.21913980586196,"R+6","Josh Heintzeman","R","House"
"20","10B",0.479478827361563,0.453781512605042,0.466630169983303,-3.33698300166972,"R+3","Dale Lueck","R","House"
"21","11A",0.63237026259267,0.634759198324858,0.633564730458764,13.3564730458764,"D+13","Mike Sundin","DFL","House"
"22","11B",0.491707686482393,0.478514242143674,0.485110964313034,-1.48890356869664,"R+1","Jason Rarick","R","House"
"23","12A",0.501669291338583,0.472415240404794,0.487042265871688,-1.29577341283116,"R+1","Jeff Backer","R","House"
"24","12B",0.389593635777252,0.369450527573163,0.379522081675208,-12.0477918324792,"R+12","Paul Anderson","R","House"
"25","13A",0.429877599174163,0.419354838709677,0.42461621894192,-7.53837810580797,"R+8","Jeff Howe","R","House"
"26","13B",0.421477624330239,0.414840040289702,0.418158832309971,-8.18411676900294,"R+8","Tim O'Driscoll","R","House"
"27","14A",0.488291686311488,0.486976791324617,0.487634238818053,-1.23657611819472,"R+1","Tama Theis","R","House"
"28","14B",0.53572112622103,0.55015164644714,0.542936386334085,4.29363863340855,"D+4","Jim Knoblach","R","House"
"29","15A",0.434661131954977,0.431389718759658,0.433025425357318,-6.69745746426824,"R+7","Sondra Erickson","R","House"
"30","15B",0.360484514397621,0.356871239470517,0.358677876934069,-14.1322123065931,"R+14","Jim Newberger","R","House"
"31","16A",0.47154102331214,0.465265976620835,0.468403499966488,-3.15965000335121,"R+3","Chris Swedzinski","R","House"
"32","16B",0.419528466378591,0.410192727995231,0.414860597186911,-8.51394028130885,"R+9","Paul Torkelson","R","House"
"33","17A",0.496334716459198,0.481167704399306,0.488751210429252,-1.12487895707482,"R+1","Tim Miller","R","House"
"34","17B",0.490597004718594,0.479207411219763,0.484902207969179,-1.50977920308214,"R+2","Dave Baker","R","House"
"35","18A",0.417076824309865,0.407663597909928,0.412370211109897,-8.76297888901035,"R+9","Dean Urdahl","R","House"
"36","18B",0.393960565129638,0.379075876989646,0.386518221059642,-11.3481778940358,"R+11","Glenn Gruenhagen","R","House"
"37","19A",0.545391651933277,0.538002424694582,0.541697038313929,4.16970383139294,"D+4","Clark Johnson","DFL","House"
"38","19B",0.587753547281211,0.588374500813489,0.58806402404735,8.80640240473502,"D+9","Jack Considine","DFL","House"
"39","20A",0.408722647081093,0.411562514918604,0.410142580999849,-8.98574190001513,"R+9","Bob Vogel","R","House"
"40","20B",0.567282702858793,0.552440098252769,0.559861400555781,5.98614005557812,"D+6","David Bly","DFL","House"
"41","21A",0.503641892369705,0.520780915105768,0.512211403737737,1.22114037377368,"D+1","Tim Kelly","R","House"
"42","21B",0.41623171359259,0.450070255341829,0.433150984467209,-6.68490155327908,"R+7","Steve Drazkowski","R","House"
"43","22A",0.419612978320966,0.423755370229972,0.421684174275469,-7.83158257245308,"R+8","Joe Schomacker","R","House"
"44","22B",0.45975932405906,0.447534470670717,0.453646897364889,-4.63531026351115,"R+5","Rod Hamilton","R","House"
"45","23A",0.409188339525579,0.399146263676954,0.404167301601266,-9.58326983987336,"R+10","Bob Gunther","R","House"
"46","23B",0.487681326272162,0.483304390969983,0.485492858621072,-1.45071413789276,"R+1","Tony Cornish","R","House"
"47","24A",0.452586897325004,0.466492334512639,0.459539615918822,-4.04603840811785,"R+4","John Petersburg","R","House"
"48","24B",0.476644591611479,0.481584315503173,0.479114453557326,-2.08855464426739,"R+2","Brian Daniels","R","House"
"49","25A",0.422128415907576,0.463681544490108,0.442904980198842,-5.70950198011579,"R+6","Duane Quam","R","House"
"50","25B",0.518140589569161,0.544202012602276,0.531171301085718,3.11713010857184,"D+3","Kim Norton","DFL","House"
"51","26A",0.562208543182242,0.59165716147955,0.576932852330896,7.69328523308962,"D+8","Tina Liebling","DFL","House"
"52","26B",0.407967758985201,0.453513129879347,0.430740444432274,-6.92595555677261,"R+7","Nels Pierson","R","House"
"53","27A",0.530855637220912,0.567732487185746,0.549294062203329,4.92940622033291,"D+5","Peggy Bennett","R","House"
"54","27B",0.538529750820254,0.613026193977019,0.575777972398636,7.57779723986363,"D+8","Jeanne Poppe","DFL","House"
"55","28A",0.551346417161114,0.581079766536965,0.566213091849039,6.62130918490393,"D+7","Gene Pelowski Jr.","DFL","House"
"56","28B",0.490596132119359,0.527087927893374,0.508842030006367,0.884203000636674,"D+1","Greg Davids","R","House"
"57","29A",0.379597012822319,0.385201607316059,0.382399310069189,-11.7600689930811,"R+12","Joe McDonald","R","House"
"58","29B",0.406341889851387,0.412812280525735,0.409577085188561,-9.04229148114392,"R+9","Marion O'Neill","R","House"
"59","30A",0.393436381634052,0.403370245546461,0.398403313590256,-10.1596686409744,"R+10","Nick Zerwas","R","House"
"60","30B",0.351071129069147,0.371294778740342,0.361182953904744,-13.8817046095256,"R+14","Eric Lucero","R","House"
"61","31A",0.352552783109405,0.362922676755734,0.35773772993257,-14.226227006743,"R+14","Kurt Daudt","R","House"
"62","31B",0.378079574148639,0.393235695122488,0.385657634635563,-11.4342365364437,"R+11","Tom Hackbarth","R","House"
"63","32A",0.437988574864702,0.419383653416704,0.428686114140703,-7.13138858592969,"R+7","Brian Johnson","R","House"
"64","32B",0.440240281709591,0.438343501571455,0.439291891640523,-6.07081083594773,"R+6","Bob Barrett","R","House"
"65","33A",0.35273106934828,0.367192726986501,0.35996189816739,-14.003810183261,"R+14","Jerry Hertaus","R","House"
"66","33B",0.4211665527455,0.444343962568317,0.432755257656908,-6.72447423430915,"R+7","Cindy Pugh","R","House"
"67","34A",0.390854794168647,0.409743329956096,0.400299062062371,-9.97009379376286,"R+10","Joyce Peppin","R","House"
"68","34B",0.44953779916424,0.47548327212559,0.462510535644915,-3.74894643550851,"R+4","Dennis Smith","R","House"
"69","35A",0.448159730574934,0.46457365076354,0.456366690669237,-4.36333093307631,"R+4","Abigail Whelan","R","House"
"70","35B",0.40633599570441,0.41646333632978,0.411399666017095,-8.8600333982905,"R+9","Peggy Scott","R","House"
"71","36A",0.474421068563645,0.495421620882876,0.48492134472326,-1.50786552767399,"R+2","Mark Uglem","R","House"
"72","36B",0.52218107892253,0.54197129704847,0.5320761879855,3.20761879854998,"D+3","Melissa Hortman","DFL","House"
"73","37A",0.531247531010508,0.544874462477459,0.538060996743983,3.80609967439833,"D+4","Jerry Newton","DFL","House"
"74","37B",0.464419475655431,0.495644015547514,0.480031745601472,-1.99682543985278,"R+2","Tim Sanders","R","House"
"75","38A",0.438342900615534,0.450447227191413,0.444395063903473,-5.56049360965266,"R+6","Linda Runbeck","R","House"
"76","38B",0.449876274971332,0.471548301720335,0.460712288345834,-3.92877116541664,"R+4","Matt Dean","R","House"
"77","39A",0.454000122421497,0.458681875792142,0.45634099910682,-4.36590008931804,"R+4","Bob Dettmer","R","House"
"78","39B",0.479650124955373,0.485589855258102,0.482619990106737,-1.73800098932626,"R+2","Kathy Lohmer","R","House"
"79","40A",0.654513686662784,0.708474778154964,0.681494232408874,18.1494232408874,"D+18","Michael V Nelson","DFL","House"
"80","40B",0.659170260833847,0.699883287945312,0.679526774389579,17.9526774389579,"D+18","Debra Hilstrom","DFL","House"
"81","41A",0.589065785521177,0.608428691041027,0.598747238281102,9.87472382811023,"D+10","Connie Bernardy","DFL","House"
"82","41B",0.632267337405677,0.638199333086328,0.635233335246003,13.5233335246003,"D+14","Carolyn Laine","DFL","House"
"83","42A",0.531233219974942,0.525407398098111,0.528320309036526,2.83203090365263,"D+3","Barb Yarusso","DFL","House"
"84","42B",0.568553535599197,0.578936435396759,0.573744985497978,7.37449854979784,"D+7","Jason Isaacson","DFL","House"
"85","43A",0.553570301155376,0.574130332463309,0.563850316809343,6.38503168093426,"D+6","Peter Fischer","DFL","House"
"86","43B",0.55587522713507,0.587787642688893,0.571831434911981,7.18314349119813,"D+7","Leon Lillie","DFL","House"
"87","44A",0.462061087061087,0.486464679065639,0.474262883063363,-2.57371169366368,"R+3","Sarah Anderson","R","House"
"88","44B",0.545149397457767,0.551133095594156,0.548141246525962,4.81412465259616,"D+5","Jon Applebaum","DFL","House"
"89","45A",0.584194440401688,0.604448655477351,0.594321547939519,9.43215479395194,"D+9","Lyndon Carlson Sr.","DFL","House"
"90","45B",0.647912423625255,0.648645263641297,0.648278843633276,14.8278843633276,"D+15","Mike Freiberg","DFL","House"
"91","46A",0.657099602598877,0.65643197458973,0.656765788594304,15.6765788594304,"D+16","Ryan Winkler","DFL","House"
"92","46B",0.682475589163791,0.672663602538849,0.67756959585132,17.756959585132,"D+18","Cheryl Youakim","DFL","House"
"93","47A",0.353515375781549,0.35899510134376,0.356255238562654,-14.3744761437346,"R+14","Jim Nash","R","House"
"94","47B",0.392438616071429,0.428732572305193,0.410585594188311,-8.9414405811689,"R+9","Joe Hoppe","R","House"
"95","48A",0.520189512221385,0.530255211377362,0.525222361799373,2.52223617993734,"D+3","Yvonne Selcer","DFL","House"
"96","48B",0.454499301941871,0.474733283575537,0.464616292758704,-3.53837072412962,"R+4","Jenifer Loon","R","House"
"97","49A",0.519018404907975,0.528328396749449,0.523673400828712,2.36734008287125,"D+2","Ron Erhardt","DFL","House"
"98","49B",0.529684008937121,0.531790813041996,0.530737410989559,3.07374109895587,"D+3","Paul Rosenthal","DFL","House"
"99","50A",0.635203875656036,0.652507201796787,0.643855538726411,14.3855538726411,"D+14","Linda Slocum","DFL","House"
"100","50B",0.565750471571005,0.581487205907608,0.573618838739306,7.36188387393064,"D+7","Ann Lenczewski","DFL","House"
"101","51A",0.541097391685541,0.566915591762842,0.554006491724192,5.40064917241916,"D+5","Sandra Masin","DFL","House"
"102","51B",0.520124767560434,0.523699134826344,0.521911951193389,2.19119511933893,"D+2","Laurie  Halverson","DFL","House"
"103","52A",0.576755478087649,0.598944475945392,0.587849977016521,8.78499770165206,"D+9","Rick Hansen","DFL","House"
"104","52B",0.512168592794018,0.538362432804656,0.525265512799337,2.52655127993369,"D+3","Joe Atkins","DFL","House"
"105","53A",0.558185824980451,0.576534263732331,0.567360044356391,6.73600443563911,"D+7","JoAnn Ward","DFL","House"
"106","53B",0.454720360910237,0.473801848269933,0.464261104590085,-3.57388954099149,"R+4","Kelly Fenton","R","House"
"107","54A",0.552599263200982,0.572329728704231,0.562464495952607,6.24644959526066,"D+6","Dan Schoen","DFL","House"
"108","54B",0.491646437241182,0.502947662121417,0.4972970496813,-0.270295031870049,"EVEN","Denny McNamara","R","House"
"109","55A",0.444659122274358,0.471973793677205,0.458316457975781,-4.16835420242185,"R+4","Bob Loonan","R","House"
"110","55B",0.365905361050328,0.387834528598916,0.376869944824622,-12.3130055175378,"R+12","Tony Albright","R","House"
"111","56A",0.4556289379792,0.481700828205247,0.468664883092223,-3.13351169077766,"R+3","Drew Christensen","R","House"
"112","56B",0.47601502161128,0.501478892175316,0.488746956893298,-1.12530431067018,"R+1","Roz Peterson","R","House"
"113","57A",0.498841251448436,0.517862717987601,0.508351984718018,0.835198471801823,"D+1","Tara Mack","R","House"
"114","57B",0.477709100473435,0.495489361702128,0.486599231087781,-1.34007689122186,"R+1","Anna Wills","R","House"
"115","58A",0.414689586589004,0.429889714157101,0.422289650373053,-7.77103496269475,"R+8","Jon Koznick","R","House"
"116","58B",0.417633928571429,0.432374624556294,0.425004276563861,-7.49957234361388,"R+7","Pat Garofalo","R","House"
"117","59A",0.827156217526844,0.857799180781579,0.842477699154212,34.2477699154212,"D+34","Joe Mullery","DFL","House"
"118","59B",0.81438263229308,0.823940475591976,0.819161553942528,31.9161553942528,"D+32","Raymond Dehn","DFL","House"
"119","60A",0.822569931360248,0.806338668606766,0.814454299983507,31.4454299983507,"D+31","Diane Loeffler","DFL","House"
"120","60B",0.830059433867231,0.798236514522822,0.814147974195026,31.4147974195026,"D+31","Phyllis Kahn","DFL","House"
"121","61A",0.816194192585791,0.801302810348037,0.808748501466914,30.8748501466914,"D+31","Frank Hornstein","DFL","House"
"122","61B",0.810524555437873,0.796782678305951,0.803653616871912,30.3653616871912,"D+30","Paul Thissen","DFL","House"
"123","62A",0.900290160907412,0.903508771929825,0.901899466418618,40.1899466418618,"D+40","Karen Clark","DFL","House"
"124","62B",0.906429026098027,0.895960832313341,0.901194929205684,40.1194929205684,"D+40","Susan Allen","DFL","House"
"125","63A",0.8690036900369,0.852564635464295,0.860784162750597,36.0784162750597,"D+36","Jim Davnie","DFL","House"
"126","63B",0.764396610379167,0.754735917701669,0.759566264040418,25.9566264040418,"D+26","Jean Wagenius","DFL","House"
"127","64A",0.807995957809638,0.79112830219735,0.799562130003494,29.9562130003494,"D+30","Erin Murphy","DFL","House"
"128","64B",0.72418764555839,0.720669084103404,0.722428364830897,22.2428364830897,"D+22","Dave Pinto","DFL","House"
"129","65A",0.85091922005571,0.858877697841727,0.854898458948719,35.4898458948718,"D+35","Rena Moran","DFL","House"
"130","65B",0.794370096908168,0.797552296743584,0.795961196825876,29.5961196825876,"D+30","Carlos Mariani","DFL","House"
"131","66A",0.678802439475143,0.673805532271584,0.676303985873364,17.6303985873364,"D+18","Alice Hausman","DFL","House"
"132","66B",0.790872840053168,0.806659767456018,0.798766303754593,29.8766303754593,"D+30","John Lesch","DFL","House"
"133","67A",0.731249123790831,0.777330871686668,0.754289997738749,25.4289997738749,"D+25","Tim Mahoney","DFL","House"
"134","67B",0.729274455540849,0.764687919872969,0.746981187706909,24.6981187706909,"D+25","Sheldon Johnson","DFL","House"
